GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
foyer,tn.esprit.foyer.controllers,TacheRestController,47,0,0,0,12,0,8,0,8,0
foyer,tn.esprit.foyer.controllers,ReservationRestController,51,0,0,0,13,0,8,0,8,0
foyer,tn.esprit.foyer.controllers,FoyerRestController,43,0,0,0,12,0,7,0,7,0
foyer,tn.esprit.foyer.controllers,ChambreRestController,70,0,0,0,16,0,12,0,12,0
foyer,tn.esprit.foyer.controllers,EtudiantRestController,52,0,0,0,14,0,8,0,8,0
foyer,tn.esprit.foyer.controllers,UniversiteRestController,49,0,0,0,13,0,8,0,8,0
foyer,tn.esprit.foyer.controllers,BlocRestController,41,0,0,0,9,0,8,0,8,0
foyer,tn.esprit.foyer.configuration,EntityNotFoundExceptionById,11,0,0,0,4,0,2,0,2,0
foyer,tn.esprit.foyer.configuration,OpenAPIConfig,39,0,0,0,7,0,2,0,2,0
foyer,tn.esprit.foyer.configuration,LoggingAspect,43,0,0,0,14,0,6,0,6,0
foyer,tn.esprit.foyer,FoyerApplication,8,0,0,0,3,0,2,0,2,0
foyer,tn.esprit.foyer.entities,TypeEtudiant,15,0,0,0,2,0,1,0,1,0
foyer,tn.esprit.foyer.entities,TypeTache,21,0,0,0,2,0,1,0,1,0
foyer,tn.esprit.foyer.entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
foyer,tn.esprit.foyer.entities,Reservation,50,0,0,0,8,0,11,0,11,0
foyer,tn.esprit.foyer.entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
foyer,tn.esprit.foyer.entities,Chambre,60,0,0,0,9,0,13,0,13,0
foyer,tn.esprit.foyer.entities,TypeChambre,21,0,0,0,2,0,1,0,1,0
foyer,tn.esprit.foyer.entities,Etudiant,203,0,12,0,21,0,33,0,27,0
foyer,tn.esprit.foyer.entities,Universite,50,0,0,0,8,0,11,0,11,0
foyer,tn.esprit.foyer.entities,Bloc,148,0,16,0,14,0,23,0,15,0
foyer,tn.esprit.foyer.entities,Foyer,60,0,0,0,9,0,13,0,13,0
foyer,tn.esprit.foyer.entities,Tache,143,0,12,0,12,0,24,0,18,0
foyer,tn.esprit.foyer.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
foyer,tn.esprit.foyer.entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
foyer,tn.esprit.foyer.services,ChambreServiceImpl,213,0,16,0,38,0,25,0,17,0
foyer,tn.esprit.foyer.services,BlocServiceImpl,139,0,2,0,33,0,15,0,14,0
foyer,tn.esprit.foyer.services,UniversiteServiceImpl,93,0,0,0,20,0,9,0,9,0
foyer,tn.esprit.foyer.services,TacheServiceImpl,167,0,4,0,38,0,15,0,13,0
foyer,tn.esprit.foyer.services,EtudiantServiceImpl,119,0,4,0,27,0,11,0,9,0
foyer,tn.esprit.foyer.services,FoyerServiceImpl,65,0,0,0,14,0,9,0,9,0
foyer,tn.esprit.foyer.services,ReservationServicImpl,354,0,26,0,75,0,26,0,12,0
